utt	orth	phon	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12
cr06.cha_1	hello hello 	h@ 'l5 h@ 'l5 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_2	oh_dear 	'5 'd7R 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_3	oh come on 	'5 'kVm 'Qn 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_4	are you a sleepy head 	'#R 'ju @ 'sli pI 'hEd 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_5	&mm 	'm 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_6	are you 	'#R 'ju 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_7	a sleepy head 	@ 'sli pI 'hEd 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_8	&uh 	'V 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_9	oh_dear 	'5 'd7R 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_10	oh_dear 	'5 'd7R 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_11	have you got a hankie 	'h{v 'ju 'gQt @ 'h{N kI 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_12	got any burps 	'gQt 'E nI 'b3ps 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_13	have you got any burps 	'h{v 'ju 'gQt 'E nI 'b3ps 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_14	oh come on 	'5 'kVm 'Qn 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_15	a big burp for mummie 	@ 'bIg 'b3p f@ 'mV mI 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_16	a big burp 	@ 'bIg 'b3p 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_17	come on 	'kVm 'Qn 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_18	oh 	'5 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_19	come on then 	'kVm 'Qn 'DEn 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_20	want some more milky 	'wQnt s@m 'm$R 'mIl kI 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_21	do you 	'du 'ju 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_22	what's the matter 	'wQts D@ 'm{ t@R 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_23	&mm 	'm 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_24	oh_dear 	'5 'd7R 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_25	oh_dear gillian 	'5 'd7R '_I lj@n 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_26	did you not want all that milk 	'dId 'ju 'nQt 'wQnt '$l 'D{t 'mIlk 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_27	&hmm 	'hF 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_28	oh_dear me 	'5 'd7R 'mi 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_29	were you being greedy guts 	'w3R 'ju 'bi IN 'gri dI 'gVts 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_30	&hmm 	'hF 	0.0131836726237449	0.013405943583773	0.0354320259149017	0.00584213602427638	0.0142063994512875	0.0221434999605737	0.00250146133150521	0.00499328789645315	0.00224959221673499	0.00834370851185574	0.0139837924419731	0.863714480042921
cr06.cha_31	were you 	'w3R 'ju 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_32	dinner time &mm 	'dI n@R 't2m 'm 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_33	was it not dinner time 	w@z It 'nQt 'dI n@R 't2m 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_34	oh_dear 	'5 'd7R 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_35	what a milky face 	'wQt @ 'mIl kI 'f1s 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_36	what a milky face 	'wQt @ 'mIl kI 'f1s 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_37	oh what a smile 	'5 'wQt @ 'sm2l 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_38	hello 	h@ 'l5 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_39	hello 	h@ 'l5 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_40	did you not want all that milk 	'dId 'ju 'nQt 'wQnt '$l 'D{t 'mIlk 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_41	did you not 	'dId 'ju 'nQt 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_42	are you being greedy girl 	'#R 'ju 'bi IN 'gri dI 'g3l 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_43	are you 	'#R 'ju 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_44	are you being greedy girl 	'#R 'ju 'bi IN 'gri dI 'g3l 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_45	&hmm 	'hF 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_46	oh oh 	'5 '5 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_47	come on 	'kVm 'Qn 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_48	big burp 	'bIg 'b3p 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_49	big burp to mummie 	'bIg 'b3p t@ 'mV mI 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_50	big burp 	'bIg 'b3p 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_51	you haven't got any have you 	'ju 'h{ vHt 'gQt 'E nI 'h{v 'ju 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_52	cause you've just been sick 	k@z 'juv '_Vst 'bin 'sIk 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_53	that's better 	'D{ts 'bE t@R 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_54	oh 	'5 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_55	like a film star 	'l2k @ 'fIlm 'st#R 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_56	isn't it 	'I zHt It 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_57	&hmm 	'hF 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_58	that's a nice noise 	'D{ts @ 'n2s 'n4z 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_59	what is it 	'wQt 'Iz It 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_60	hello beautiful 	h@ 'l5 'bju t@ fUl 	0.0782294709782028	0.0101491877489119	0.102060791806559	0.00822236255160205	0.0189233147965531	0.0152876798588292	0.00322557762768324	0.00524894120579854	0.00446018943498578	0.0146877938747704	0.0137779643119205	0.725726725804183
cr06.cha_61	hello beautiful 	h@ 'l5 'bju t@ fUl 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_62	hello 	h@ 'l5 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_63	yes 	'jEs 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_64	do you want some more 	'du 'ju 'wQnt s@m 'm$R 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_65	&hmm 	'hF 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_66	&hmm 	'hF 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_67	tired 	't2 @d 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_68	&hmm 	'hF 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_69	let's change you're nappie 	'lEts 'J1n_ 'j9R 'n{ pI 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_70	let's change you're nappie 	'lEts 'J1n_ 'j9R 'n{ pI 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_71	there we are 	'D8R 'wi '#R 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_72	there we are 	'D8R 'wi '#R 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_73	mum's just going to get you're pants 	'mVmz '_Vst 'g5 IN t@ 'gEt 'j9R 'p{nts 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_74	hello 	h@ 'l5 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_75	hello 	h@ 'l5 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_76	hello beautiful 	h@ 'l5 'bju t@ fUl 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_77	hello beautiful 	h@ 'l5 'bju t@ fUl 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_78	have you got a big smile for mummie 	'h{v 'ju 'gQt @ 'bIg 'sm2l f@ 'mV mI 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_79	have you 	'h{v 'ju 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_80	&eh 	'1 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_81	have you 	'h{v 'ju 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_82	hello beautiful 	h@ 'l5 'bju t@ fUl 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_83	hello 	h@ 'l5 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_84	who's got a big fat tummy 	'huz 'gQt @ 'bIg 'f{t 'tV mI 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_85	&hmm 	'hF 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_86	who's got a big fat tummy 	'huz 'gQt @ 'bIg 'f{t 'tV mI 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_87	have you got yourself sick 	'h{v 'ju 'gQt j$ 'sElf 'sIk 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_88	have you 	'h{v 'ju 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_89	oh wipe it up 	'5 'w2p It 'Vp 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_90	oh_dear 	'5 'd7R 	0.0145506466793336	0.0155842125319963	0.239094359585112	0.166040406096251	0.0393200989896359	0.0113995075917832	0.00338131714489799	0.00627869789825159	0.00534382921016498	0.0115167207105254	0.0155052986252276	0.47198490493682
cr06.cha_91	oh_dear 	'5 'd7R 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_92	there we are 	'D8R 'wi '#R 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_93	that's better 	'D{ts 'bE t@R 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_94	did you not want all of you're dinner 	'dId 'ju 'nQt 'wQnt '$l @v 'j9R 'dI n@R 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_95	did ya not 	'dId j@ 'nQt 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_96	&eh 	'1 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_97	who's a beautiful little girl &hmm 	'huz @ 'bju t@ fUl 'lI tP 'g3l 'hF 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_98	are you looking out the windows 	'#R 'ju 'lU kIN '6t D@ 'wIn d5z 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_99	are you 	'#R 'ju 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_100	&hmm 	'hF 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
cr06.cha_101	are you 	'#R 'ju 	0.0565591500472854	0.00687049175066735	0.0200820216272178	0.00567575416244824	0.0164009722715227	0.0152754834304379	0.00174855245808312	0.00463674781335609	0.00200544203280091	0.0102652118253756	0.182751111551362	0.677729061029443
